package name,version,source,downloads,language
isobject,,npmjs,"{'overall': 600991190, 'last_month': 50470436, 'last_week': 7881282, 'last_year': 484280614}",javascript
strip-bom,,npmjs,"{'overall': 588709948, 'last_month': 39352733, 'last_week': 5668947, 'last_year': 446123411}",javascript
js-yaml,,npmjs,"{'overall': 582203971, 'last_month': 39145739, 'last_week': 5689627, 'last_year': 450940679}",javascript
braces,,npmjs,"{'overall': 581947394, 'last_month': 44374926, 'last_week': 7108621, 'last_year': 485956404}",javascript
http-signature,,npmjs,"{'overall': 577574360, 'last_month': 37234826, 'last_week': 6508769, 'last_year': 451080981}",javascript
pify,,npmjs,"{'overall': 575383706, 'last_month': 47540642, 'last_week': 7328939, 'last_year': 462857640}",javascript
resolve,,npmjs,"{'overall': 569710744, 'last_month': 42341959, 'last_week': 6468630, 'last_year': 439003844}",javascript
statuses,,npmjs,"{'overall': 568594774, 'last_month': 45749395, 'last_week': 7055590, 'last_year': 463633243}",javascript
find-up,,npmjs,"{'overall': 568289831, 'last_month': 49272989, 'last_week': 7279407, 'last_year': 456798455}",javascript
core-js,,npmjs,"{'overall': 565785775, 'last_month': 43661474, 'last_week': 6359661, 'last_year': 446877655}",javascript
@types/node,,npmjs,"{'overall': 563347405, 'last_month': 53583857, 'last_week': 10060242, 'last_year': 511882965}",javascript
rimraf,,npmjs,"{'overall': 563147403, 'last_month': 36567578, 'last_week': 5560848, 'last_year': 417982270}",javascript
uglify-js,,npmjs,"{'overall': 562903947, 'last_month': 33708166, 'last_week': 4653799, 'last_year': 419355904}",javascript
path-type,,npmjs,"{'overall': 554696007, 'last_month': 42759644, 'last_week': 6886834, 'last_year': 452660833}",javascript
depd,,npmjs,"{'overall': 554625715, 'last_month': 34533181, 'last_week': 5263320, 'last_year': 446196073}",javascript
path-exists,,npmjs,"{'overall': 553515457, 'last_month': 40788943, 'last_week': 5944425, 'last_year': 432703408}",javascript
aws-sign2,,npmjs,"{'overall': 548473776, 'last_month': 35703207, 'last_week': 6258249, 'last_year': 427770248}",javascript
setprototypeof,,npmjs,"{'overall': 546510411, 'last_month': 33296649, 'last_week': 5562612, 'last_year': 431907028}",javascript
tunnel-agent,,npmjs,"{'overall': 545818258, 'last_month': 35079135, 'last_week': 6181410, 'last_year': 416292128}",javascript
cross-spawn,,npmjs,"{'overall': 542089293, 'last_month': 50388504, 'last_week': 7597016, 'last_year': 449589162}",javascript
process-nextick-args,,npmjs,"{'overall': 541487745, 'last_month': 38968790, 'last_week': 6768600, 'last_year': 431955767}",javascript
colors,,npmjs,"{'overall': 537134496, 'last_month': 39199180, 'last_week': 5557535, 'last_year': 419931164}",javascript
tough-cookie,,npmjs,"{'overall': 535628660, 'last_month': 44519618, 'last_week': 7182298, 'last_year': 422204473}",javascript
caseless,,npmjs,"{'overall': 534236223, 'last_month': 33332413, 'last_week': 5886885, 'last_year': 405891838}",javascript
read-pkg,,npmjs,"{'overall': 530434764, 'last_month': 40841565, 'last_week': 6516876, 'last_year': 428587707}",javascript
jsesc,,npmjs,"{'overall': 529004983, 'last_month': 44853002, 'last_week': 6436682, 'last_year': 427869756}",javascript
http-errors,,npmjs,"{'overall': 527982022, 'last_month': 35386301, 'last_week': 5477592, 'last_year': 418415687}",javascript
extend,,npmjs,"{'overall': 527467874, 'last_month': 37795727, 'last_week': 6133909, 'last_year': 400692319}",javascript
load-json-file,,npmjs,"{'overall': 526467071, 'last_month': 39065134, 'last_week': 6231272, 'last_year': 423998981}",javascript
micromatch,,npmjs,"{'overall': 523813465, 'last_month': 41984475, 'last_week': 6028832, 'last_year': 443870881}",javascript
is-extglob,,npmjs,"{'overall': 516611898, 'last_month': 36287489, 'last_week': 5821640, 'last_year': 404067832}",javascript
is-extendable,,npmjs,"{'overall': 513890516, 'last_month': 42894951, 'last_week': 7018980, 'last_year': 436698780}",javascript
read-pkg-up,,npmjs,"{'overall': 507506131, 'last_month': 38342600, 'last_week': 5459725, 'last_year': 407099052}",javascript
combined-stream,,npmjs,"{'overall': 506788113, 'last_month': 37254379, 'last_week': 5995142, 'last_year': 396697518}",javascript
arr-diff,,npmjs,"{'overall': 504808032, 'last_month': 40334543, 'last_week': 6523336, 'last_year': 425182162}",javascript
once,,npmjs,"{'overall': 503255328, 'last_month': 33347939, 'last_week': 5291324, 'last_year': 365799923}",javascript
through2,,npmjs,"{'overall': 492074509, 'last_month': 36052610, 'last_week': 5511239, 'last_year': 368734738}",javascript
extend-shallow,,npmjs,"{'overall': 491921673, 'last_month': 50849251, 'last_week': 7475067, 'last_year': 469197751}",javascript
hoek,,npmjs,"{'overall': 491646634, 'last_month': 22322806, 'last_week': 3327287, 'last_year': 357656334}",javascript
fill-range,,npmjs,"{'overall': 490649776, 'last_month': 39321255, 'last_week': 6336909, 'last_year': 412833102}",javascript
extglob,,npmjs,"{'overall': 489737791, 'last_month': 38960189, 'last_week': 6262905, 'last_year': 410764142}",javascript
globby,,npmjs,"{'overall': 489024200, 'last_month': 36779135, 'last_week': 5243241, 'last_year': 403265504}",javascript
brace-expansion,,npmjs,"{'overall': 488502525, 'last_month': 31393927, 'last_week': 5387174, 'last_year': 368197879}",javascript
nopt,,npmjs,"{'overall': 488093381, 'last_month': 32663386, 'last_week': 4551115, 'last_year': 371218950}",javascript
extsprintf,,npmjs,"{'overall': 486740427, 'last_month': 35680663, 'last_week': 6268119, 'last_year': 383023808}",javascript
core-util-is,,npmjs,"{'overall': 486564151, 'last_month': 35207434, 'last_week': 5876504, 'last_year': 360918110}",javascript
expand-brackets,,npmjs,"{'overall': 485370000, 'last_month': 38540484, 'last_week': 6190639, 'last_year': 406671158}",javascript
performance-now,,npmjs,"{'overall': 479424804, 'last_month': 33086645, 'last_week': 5338490, 'last_year': 377947372}",javascript
array-unique,,npmjs,"{'overall': 476284877, 'last_month': 38346038, 'last_week': 5552461, 'last_year': 397198806}",javascript
oauth-sign,,npmjs,"{'overall': 476100490, 'last_month': 37165620, 'last_week': 6568350, 'last_year': 369122273}",javascript
fs-extra,,npmjs,"{'overall': 473321967, 'last_month': 36547664, 'last_week': 5422274, 'last_year': 366600917}",javascript
xtend,,npmjs,"{'overall': 470328565, 'last_month': 30011048, 'last_week': 4685684, 'last_year': 341523893}",javascript
clone,,npmjs,"{'overall': 467561593, 'last_month': 29011911, 'last_week': 4107756, 'last_year': 355976178}",javascript
sax,,npmjs,"{'overall': 464571965, 'last_month': 34753013, 'last_week': 5266315, 'last_year': 364704835}",javascript
glob-parent,,npmjs,"{'overall': 462998903, 'last_month': 35287213, 'last_week': 5682443, 'last_year': 373369603}",javascript
regenerator-runtime,,npmjs,"{'overall': 462007193, 'last_month': 38539842, 'last_week': 5646114, 'last_year': 368659185}",javascript
har-schema,,npmjs,"{'overall': 459371855, 'last_month': 30140889, 'last_week': 6017212, 'last_year': 362769501}",javascript
os-locale,,npmjs,"{'overall': 458698479, 'last_month': 39388832, 'last_week': 6503932, 'last_year': 373296107}",javascript
delayed-stream,,npmjs,"{'overall': 450814273, 'last_month': 30446340, 'last_week': 5482141, 'last_year': 338530548}",javascript
bluebird,,npmjs,"{'overall': 450457699, 'last_month': 33427888, 'last_week': 5213076, 'last_year': 342134996}",javascript
which,,npmjs,"{'overall': 449871049, 'last_month': 30800943, 'last_week': 4584354, 'last_year': 341160314}",javascript
asn1,,npmjs,"{'overall': 444453086, 'last_month': 31074856, 'last_week': 5554368, 'last_year': 338458842}",javascript
escape-string-regexp,,npmjs,"{'overall': 444283459, 'last_month': 28710352, 'last_week': 4344997, 'last_year': 323521335}",javascript
finalhandler,,npmjs,"{'overall': 441955339, 'last_month': 29133913, 'last_week': 4414981, 'last_year': 332687135}",javascript
has-ansi,,npmjs,"{'overall': 441739267, 'last_month': 25944305, 'last_week': 4306106, 'last_year': 319379250}",javascript
bytes,,npmjs,"{'overall': 439257221, 'last_month': 27071196, 'last_week': 4079019, 'last_year': 319709560}",javascript
sshpk,,npmjs,"{'overall': 437380587, 'last_month': 32310900, 'last_week': 5934957, 'last_year': 340322845}",javascript
fast-deep-equal,,npmjs,"{'overall': 436815871, 'last_month': 39323501, 'last_week': 8090592, 'last_year': 376746873}",javascript
util-deprecate,,npmjs,"{'overall': 434907234, 'last_month': 29678400, 'last_week': 5255297, 'last_year': 325463212}",javascript
path-to-regexp,,npmjs,"{'overall': 433041015, 'last_month': 31001646, 'last_week': 4626366, 'last_year': 337515362}",javascript
hawk,,npmjs,"{'overall': 432439876, 'last_month': 14661109, 'last_week': 2024175, 'last_year': 305068251}",javascript
accepts,,npmjs,"{'overall': 431747475, 'last_month': 27087235, 'last_week': 4141051, 'last_year': 322614252}",javascript
nan,,npmjs,"{'overall': 428788247, 'last_month': 32533220, 'last_week': 4915006, 'last_year': 339359669}",javascript
for-own,,npmjs,"{'overall': 428599676, 'last_month': 28482944, 'last_week': 4520038, 'last_year': 324189129}",javascript
globals,,npmjs,"{'overall': 428559655, 'last_month': 34712912, 'last_week': 5610530, 'last_year': 349482595}",javascript
domelementtype,,npmjs,"{'overall': 428167342, 'last_month': 30714047, 'last_week': 4802912, 'last_year': 333197002}",javascript
cryptiles,,npmjs,"{'overall': 427891977, 'last_month': 14871592, 'last_week': 2330730, 'last_year': 305508559}",javascript
co,,npmjs,"{'overall': 426974006, 'last_month': 24282044, 'last_week': 3650980, 'last_year': 322903473}",javascript
aws4,,npmjs,"{'overall': 424928150, 'last_month': 31483426, 'last_week': 5610295, 'last_year': 333451871}",javascript
estraverse,,npmjs,"{'overall': 422359938, 'last_month': 28903307, 'last_week': 4262834, 'last_year': 313790225}",javascript
sntp,,npmjs,"{'overall': 421074564, 'last_month': 14010906, 'last_week': 2186076, 'last_year': 298816497}",javascript
source-map-support,,npmjs,"{'overall': 419598169, 'last_month': 33270167, 'last_week': 4784322, 'last_year': 338883279}",javascript
verror,,npmjs,"{'overall': 417729491, 'last_month': 29146290, 'last_week': 4838694, 'last_year': 315307239}",javascript
