package name,version,source,downloads,language
docopt,,pypi,"{'overall': 20444760, u'last_month': 4176216, u'last_week': 965225, u'last_day': 161822}",python
mccabe,,pypi,"{u'last_month': 4082327, u'last_week': 973890, u'last_day': 175535}",python
bcrypt,,pypi,"{'overall': 16164998, u'last_month': 3885797, u'last_week': 910636, u'last_day': 150874}",python
pycodestyle,,pypi,"{u'last_month': 3786601, u'last_week': 916560, u'last_day': 157373}",python
matplotlib,,pypi,"{u'last_month': 3692977, u'last_week': 949549, u'last_day': 160652}",python
wrapt,,pypi,"{u'last_month': 3642114, u'last_week': 876153, u'last_day': 157781}",python
oauth2client,,pypi,"{u'last_month': 3625669, u'last_week': 870183, u'last_day': 146699}",python
tornado,,pypi,"{u'last_month': 3595198, u'last_week': 840548, u'last_day': 157445}",python
oauthlib,,pypi,"{u'last_month': 3582981, u'last_week': 924380, u'last_day': 152080}",python
redis,,pypi,"{u'last_month': 3518090, u'last_week': 834527, u'last_day': 158625}",python
ptyprocess,,pypi,"{u'last_month': 3512534, u'last_week': 795362, u'last_day': 124856}",python
requests-oauthlib,,pypi,"{u'last_month': 3453737, u'last_week': 890089, u'last_day': 145442}",python
pyflakes,,pypi,"{u'last_month': 3347850, u'last_week': 811744, u'last_day': 139581}",python
beautifulsoup4,,pypi,"{'overall': 13506776, u'last_month': 3326516, u'last_week': 843390, u'last_day': 131357}",python
google-api-python-client,,pypi,"{u'last_month': 3278883, u'last_week': 857268, u'last_day': 145505}",python
uritemplate,,pypi,"{u'last_month': 3196122, u'last_week': 709700, u'last_day': 120084}",python
nose,,pypi,"{u'last_month': 3181642, u'last_week': 779476, u'last_day': 122824}",python
pexpect,,pypi,"{u'last_month': 3129361, u'last_week': 790389, u'last_day': 124855}",python
absl-py,,pypi,"{'overall': 13470879, u'last_month': 3124273, u'last_week': 768579, u'last_day': 109781}",python
packaging,,pypi,"{u'last_month': 3087012, u'last_week': 862228, u'last_day': 120722}",python
wcwidth,,pypi,"{u'last_month': 3064037, u'last_week': 791057, u'last_day': 127595}",python
typing,,pypi,"{u'last_month': 3019717, u'last_week': 823803, u'last_day': 135966}",python
functools32,,pypi,"{u'last_month': 3015463, u'last_week': 697230, u'last_day': 121854}",python
greenlet,,pypi,"{u'last_month': 2954411, u'last_week': 698399, u'last_day': 113619}",python
elasticsearch,,pypi,"{'overall': 18797590, u'last_month': 2953163, u'last_week': 561133, u'last_day': 117305}",python
lazy-object-proxy,,pypi,"{u'last_month': 2922817, u'last_week': 689210, u'last_day': 122508}",python
pathlib2,,pypi,"{u'last_month': 2909564, u'last_week': 758880, u'last_day': 117072}",python
gunicorn,,pypi,"{u'last_month': 2905278, u'last_week': 685694, u'last_day': 121472}",python
ipython,,pypi,"{u'last_month': 2806073, u'last_week': 747198, u'last_day': 129037}",python
traitlets,,pypi,"{u'last_month': 2765335, u'last_week': 704580, u'last_day': 110280}",python
flake8,,pypi,"{u'last_month': 2747145, u'last_week': 650166, u'last_day': 117211}",python
ujson,,pypi,"{u'last_month': 2610949, u'last_week': 504166, u'last_day': 109775}",python
kiwisolver,,pypi,"{u'last_month': 2605296, u'last_week': 687020, u'last_day': 110028}",python
termcolor,,pypi,"{u'last_month': 2585962, u'last_week': 612250, u'last_day': 106225}",python
pickleshare,,pypi,"{u'last_month': 2574809, u'last_week': 638773, u'last_day': 98970}",python
scandir,,pypi,"{u'last_month': 2545012, u'last_week': 652550, u'last_day': 98779}",python
