package name,version,source,downloads,language
listen,,rubygems,{'overall': 43678516},ruby
warden,,rubygems,{'overall': 43115730},ruby
haml,,rubygems,{'overall': 42981165},ruby
devise,,rubygems,{'overall': 42483151},ruby
crack,,rubygems,{'overall': 41961077},ruby
websocket-extensions,,rubygems,{'overall': 41650988},ruby
launchy,,rubygems,{'overall': 41624474},ruby
dotenv,,rubygems,{'overall': 41443391},ruby
webmock,,rubygems,{'overall': 41409952},ruby
xml-simple,,rubygems,{'overall': 41239109},ruby
parallel,,rubygems,{'overall': 40778118},ruby
connection_pool,,rubygems,{'overall': 40692426},ruby
powerpack,,rubygems,{'overall': 40574770},ruby
factory_girl,,rubygems,{'overall': 40370004},ruby
selenium-webdriver,,rubygems,{'overall': 40050203},ruby
orm_adapter,,rubygems,{'overall': 39898254},ruby
responders,,rubygems,{'overall': 38909295},ruby
database_cleaner,,rubygems,{'overall': 38810459},ruby
ipaddress,,rubygems,{'overall': 37974306},ruby
json_pure,,rubygems,{'overall': 37731705},ruby
kgio,,rubygems,{'overall': 36876048},ruby
chunky_png,,rubygems,{'overall': 36859957},ruby
redis-namespace,,rubygems,{'overall': 35975929},ruby
kaminari,,rubygems,{'overall': 35504716},ruby
nio4r,,rubygems,{'overall': 35443470},ruby
raindrops,,rubygems,{'overall': 35404769},ruby
fog-core,,rubygems,{'overall': 35244003},ruby
unicorn,,rubygems,{'overall': 35046877},ruby
timecop,,rubygems,{'overall': 34187382},ruby
libv8,,rubygems,{'overall': 33575478},ruby
spring,,rubygems,{'overall': 33274576},ruby
CFPropertyList,,rubygems,{'overall': 33163754},ruby
factory_girl_rails,,rubygems,{'overall': 33054470},ruby
oauth2,,rubygems,{'overall': 32914892},ruby
sidekiq,,rubygems,{'overall': 32872048},ruby
timers,,rubygems,{'overall': 31984442},ruby
rack-cache,,rubygems,{'overall': 31734775},ruby
fog-json,,rubygems,{'overall': 31720792},ruby
faker,,rubygems,{'overall': 31308310},ruby
celluloid,,rubygems,{'overall': 31151794},ruby
uuidtools,,rubygems,{'overall': 30820583},ruby
fog,,rubygems,{'overall': 30719765},ruby
terminal-table,,rubygems,{'overall': 30403947},ruby
request_store,,rubygems,{'overall': 30183150},ruby
debug_inspector,,rubygems,{'overall': 30015078},ruby
hashdiff,,rubygems,{'overall': 29232868},ruby
therubyracer,,rubygems,{'overall': 29105223},ruby
http_parser.rb,,rubygems,{'overall': 29037805},ruby
fog-aws,,rubygems,{'overall': 28953226},ruby
aws-sdk-v1,,rubygems,{'overall': 28555404},ruby
signet,,rubygems,{'overall': 28467166},ruby
logging,,rubygems,{'overall': 28442749},ruby
oj,,rubygems,{'overall': 28335435},ruby
rack-ssl,,rubygems,{'overall': 28069817},ruby
trollop,,rubygems,{'overall': 28030411},ruby
autoprefixer-rails,,rubygems,{'overall': 27981764},ruby
binding_of_caller,,rubygems,{'overall': 27886689},ruby
htmlentities,,rubygems,{'overall': 27872638},ruby
fog-xml,,rubygems,{'overall': 27730366},ruby
sass-listen,,rubygems,{'overall': 27695854},ruby
compass,,rubygems,{'overall': 27587916},ruby
little-plugger,,rubygems,{'overall': 27446702},ruby
retriable,,rubygems,{'overall': 27393205},ruby
google-api-client,,rubygems,{'overall': 27387121},ruby
crass,,rubygems,{'overall': 27274348},ruby
actioncable,,rubygems,{'overall': 27110552},ruby
colorize,,rubygems,{'overall': 27010671},ruby
systemu,,rubygems,{'overall': 26349515},ruby
capistrano,,rubygems,{'overall': 26294324},ruby
shoulda-matchers,,rubygems,{'overall': 26285300},ruby
equalizer,,rubygems,{'overall': 26118497},ruby
pry-byebug,,rubygems,{'overall': 26109135},ruby
rufus-scheduler,,rubygems,{'overall': 26063683},ruby
foreman,,rubygems,{'overall': 26039604},ruby
bootstrap-sass,,rubygems,{'overall': 25994984},ruby
omniauth,,rubygems,{'overall': 25956879},ruby
chronic,,rubygems,{'overall': 25932149},ruby
mimemagic,,rubygems,{'overall': 25865685},ruby
memoist,,rubygems,{'overall': 25828347},ruby
oauth,,rubygems,{'overall': 25558592},ruby
mini_mime,,rubygems,{'overall': 25262761},ruby
ref,,rubygems,{'overall': 25124081},ruby
pry-rails,,rubygems,{'overall': 24977662},ruby
net-ssh-gateway,,rubygems,{'overall': 24872321},ruby
websocket,,rubygems,{'overall': 24704622},ruby
redcarpet,,rubygems,{'overall': 24590731},ruby
journey,,rubygems,{'overall': 24316229},ruby
octokit,,rubygems,{'overall': 24138512},ruby
gherkin,,rubygems,{'overall': 24105299},ruby
net-sftp,,rubygems,{'overall': 24085969},ruby
ice_nine,,rubygems,{'overall': 23998914},ruby
yard,,rubygems,{'overall': 23944328},ruby
hitimes,,rubygems,{'overall': 23870421},ruby
temple,,rubygems,{'overall': 23820717},ruby
sexp_processor,,rubygems,{'overall': 23787417},ruby
googleauth,,rubygems,{'overall': 23724344},ruby
yajl-ruby,,rubygems,{'overall': 23589228},ruby
guard,,rubygems,{'overall': 23548713},ruby
cocaine,,rubygems,{'overall': 23457228},ruby
paperclip,,rubygems,{'overall': 23445641},ruby
rspec-its,,rubygems,{'overall': 23193162},ruby
sawyer,,rubygems,{'overall': 23172899},ruby
jquery-ui-rails,,rubygems,{'overall': 23163422},ruby
will_paginate,,rubygems,{'overall': 22917598},ruby
os,,rubygems,{'overall': 22859452},ruby
backports,,rubygems,{'overall': 22546491},ruby
fog-brightbox,,rubygems,{'overall': 22367283},ruby
ruby_parser,,rubygems,{'overall': 22360079},ruby
mini_magick,,rubygems,{'overall': 22307715},ruby
descendants_tracker,,rubygems,{'overall': 22080098},ruby
inflecto,,rubygems,{'overall': 22040033},ruby
net-http-persistent,,rubygems,{'overall': 21903912},ruby
mocha,,rubygems,{'overall': 21867520},ruby
cucumber,,rubygems,{'overall': 21698026},ruby
msgpack,,rubygems,{'overall': 21659329},ruby
turbolinks-source,,rubygems,{'overall': 21580382},ruby
climate_control,,rubygems,{'overall': 21475849},ruby
omniauth-oauth2,,rubygems,{'overall': 21426223},ruby
bson,,rubygems,{'overall': 21402394},ruby
executable-hooks,,rubygems,{'overall': 21317048},ruby
lumberjack,,rubygems,{'overall': 21246343},ruby
logstash-output-sqs,,rubygems,{'overall': 21168082},ruby
logstash-filter-translate,,rubygems,{'overall': 20651590},ruby
uber,,rubygems,{'overall': 20559952},ruby
typhoeus,,rubygems,{'overall': 20280463},ruby
carrierwave,,rubygems,{'overall': 20163460},ruby
virtus,,rubygems,{'overall': 20120632},ruby
colored,,rubygems,{'overall': 20099071},ruby
web-console,,rubygems,{'overall': 20030608},ruby
metaclass,,rubygems,{'overall': 19988524},ruby
dalli,,rubygems,{'overall': 19854642},ruby
fog-softlayer,,rubygems,{'overall': 19853767},ruby
rack-cors,,rubygems,{'overall': 19793675},ruby
kramdown,,rubygems,{'overall': 19687982},ruby
coercible,,rubygems,{'overall': 19561321},ruby
aws-partitions,,rubygems,{'overall': 19454349},ruby
bcrypt-ruby,,rubygems,{'overall': 19429439},ruby
inspec,,rubygems,{'overall': 19315991},ruby
representable,,rubygems,{'overall': 19300766},ruby
axiom-types,,rubygems,{'overall': 19267005},ruby
elasticsearch-api,,rubygems,{'overall': 19146616},ruby
elasticsearch-transport,,rubygems,{'overall': 19071830},ruby
elasticsearch,,rubygems,{'overall': 18956066},ruby
fog-local,,rubygems,{'overall': 18747328},ruby
better_errors,,rubygems,{'overall': 18704219},ruby
ethon,,rubygems,{'overall': 18497022},ruby
erubi,,rubygems,{'overall': 18492498},ruby
knapsack,,rubygems,{'overall': 18402537},ruby
fog-profitbricks,,rubygems,{'overall': 18365293},ruby
nori,,rubygems,{'overall': 18292652},ruby
train,,rubygems,{'overall': 18244683},ruby
fog-sakuracloud,,rubygems,{'overall': 18163962},ruby
ohai,,rubygems,{'overall': 18146783},ruby
fog-radosgw,,rubygems,{'overall': 17994457},ruby
gyoku,,rubygems,{'overall': 17954862},ruby
poltergeist,,rubygems,{'overall': 17888922},ruby
columnize,,rubygems,{'overall': 17836200},ruby
fog-google,,rubygems,{'overall': 17822080},ruby
tins,,rubygems,{'overall': 17812023},ruby
mongo,,rubygems,{'overall': 17783940},ruby
guard-rspec,,rubygems,{'overall': 17756118},ruby
specinfra,,rubygems,{'overall': 17720445},ruby
sequel,,rubygems,{'overall': 17684085},ruby
fission,,rubygems,{'overall': 17623763},ruby
xcodeproj,,rubygems,{'overall': 17604892},ruby
open4,,rubygems,{'overall': 17576376},ruby
css_parser,,rubygems,{'overall': 17486190},ruby
fog-terremark,,rubygems,{'overall': 17391460},ruby
fog-vmfusion,,rubygems,{'overall': 17379163},ruby
fog-voxel,,rubygems,{'overall': 17362994},ruby
vcr,,rubygems,{'overall': 17352528},ruby
slack-notifier,,rubygems,{'overall': 17336127},ruby
fog-ecloud,,rubygems,{'overall': 17176543},ruby
term-ansicolor,,rubygems,{'overall': 17098556},ruby
serverspec,,rubygems,{'overall': 17016255},ruby
fog-storm_on_demand,,rubygems,{'overall': 16961271},ruby
font-awesome-rails,,rubygems,{'overall': 16926136},ruby
rouge,,rubygems,{'overall': 16835750},ruby
active_model_serializers,,rubygems,{'overall': 16790551},ruby
simple_form,,rubygems,{'overall': 16733982},ruby
money,,rubygems,{'overall': 16655380},ruby
aws-sdk-s3,,rubygems,{'overall': 16559302},ruby
facter,,rubygems,{'overall': 16549428},ruby
fog-atmos,,rubygems,{'overall': 16543659},ruby
fog-serverlove,,rubygems,{'overall': 16308598},ruby
compass-import-once,,rubygems,{'overall': 16217250},ruby
cliver,,rubygems,{'overall': 16128753},ruby
slim,,rubygems,{'overall': 16059828},ruby
bunny,,rubygems,{'overall': 15965004},ruby
aws-sdk-kms,,rubygems,{'overall': 15919670},ruby
fog-riakcs,,rubygems,{'overall': 15773190},ruby
compass-core,,rubygems,{'overall': 15766141},ruby
httpi,,rubygems,{'overall': 15713378},ruby
dotenv-rails,,rubygems,{'overall': 15685264},ruby
rspec_junit_formatter,,rubygems,{'overall': 15684723},ruby
redis-store,,rubygems,{'overall': 15623077},ruby
net-ldap,,rubygems,{'overall': 15433529},ruby
whenever,,rubygems,{'overall': 15379985},ruby
multi_test,,rubygems,{'overall': 15378529},ruby
ruby_dep,,rubygems,{'overall': 15317605},ruby
fog-powerdns,,rubygems,{'overall': 15225988},ruby
polyamorous,,rubygems,{'overall': 15163730},ruby
sentry-raven,,rubygems,{'overall': 15126128},ruby
redis-activesupport,,rubygems,{'overall': 15014324},ruby
airbrake,,rubygems,{'overall': 14924492},ruby
mixlib-shellout,,rubygems,{'overall': 14749089},ruby
brakeman,,rubygems,{'overall': 14744215},ruby
nenv,,rubygems,{'overall': 14735229},ruby
sshkit,,rubygems,{'overall': 14694791},ruby
rack-mount,,rubygems,{'overall': 14673391},ruby
mustermann,,rubygems,{'overall': 14593414},ruby
notiffany,,rubygems,{'overall': 14583793},ruby
akami,,rubygems,{'overall': 14581333},ruby
redis-rack,,rubygems,{'overall': 14541956},ruby
hiredis,,rubygems,{'overall': 14499247},ruby
sfl,,rubygems,{'overall': 14498815},ruby
passenger,,rubygems,{'overall': 14360846},ruby
resque,,rubygems,{'overall': 14314341},ruby
redis-actionpack,,rubygems,{'overall': 14293575},ruby
wasabi,,rubygems,{'overall': 14265432},ruby
mixlib-cli,,rubygems,{'overall': 14227975},ruby
vegas,,rubygems,{'overall': 14133215},ruby
savon,,rubygems,{'overall': 14048006},ruby
http,,rubygems,{'overall': 14041517},ruby
net-telnet,,rubygems,{'overall': 14032493},ruby
redis-rails,,rubygems,{'overall': 13905162},ruby
declarative,,rubygems,{'overall': 13795592},ruby
rails_stdout_logging,,rubygems,{'overall': 13614669},ruby
ansi,,rubygems,{'overall': 13604321},ruby
aws-sdk-ec2,,rubygems,{'overall': 13569137},ruby
plist,,rubygems,{'overall': 13551690},ruby
shellany,,rubygems,{'overall': 13520935},ruby
puppet,,rubygems,{'overall': 13509132},ruby
dpl,,rubygems,{'overall': 13444031},ruby
json-schema,,rubygems,{'overall': 13334642},ruby
haml-rails,,rubygems,{'overall': 13321870},ruby
git,,rubygems,{'overall': 13292294},ruby
rails_serve_static_assets,,rubygems,{'overall': 13283302},ruby
lograge,,rubygems,{'overall': 13171017},ruby
parallel_tests,,rubygems,{'overall': 13117211},ruby
rbvmomi,,rubygems,{'overall': 13091751},ruby
ruby-prof,,rubygems,{'overall': 13074748},ruby
bullet,,rubygems,{'overall': 13059517},ruby
bundler-unload,,rubygems,{'overall': 12967490},ruby
rmagick,,rubygems,{'overall': 12950753},ruby
docker-api,,rubygems,{'overall': 12937949},ruby
delayed_job,,rubygems,{'overall': 12932127},ruby
chef-sugar,,rubygems,{'overall': 12899077},ruby
declarative-option,,rubygems,{'overall': 12849595},ruby
geocoder,,rubygems,{'overall': 12812442},ruby
hiera,,rubygems,{'overall': 12782191},ruby
ttfunk,,rubygems,{'overall': 12747179},ruby
claide,,rubygems,{'overall': 12727981},ruby
uniform_notifier,,rubygems,{'overall': 12703190},ruby
mustache,,rubygems,{'overall': 12636869},ruby
guard-compat,,rubygems,{'overall': 12621623},ruby
rails_12factor,,rubygems,{'overall': 12575508},ruby
spring-commands-rspec,,rubygems,{'overall': 12569727},ruby
state_machine,,rubygems,{'overall': 12566648},ruby
test-unit,,rubygems,{'overall': 12557616},ruby
activerecord-import,,rubygems,{'overall': 12518125},ruby
paper_trail,,rubygems,{'overall': 12510462},ruby
cocoapods,,rubygems,{'overall': 12459528},ruby
browser,,rubygems,{'overall': 12433438},ruby
minitar,,rubygems,{'overall': 12259797},ruby
aws-sdk-sqs,,rubygems,{'overall': 12237591},ruby
amq-protocol,,rubygems,{'overall': 12192500},ruby
atomic,,rubygems,{'overall': 12169839},ruby
omniauth-google-oauth2,,rubygems,{'overall': 12153679},ruby
liquid,,rubygems,{'overall': 12129329},ruby
fastlane,,rubygems,{'overall': 12075135},ruby
mixlib-log,,rubygems,{'overall': 12069299},ruby
fastimage,,rubygems,{'overall': 12007217},ruby
celluloid-io,,rubygems,{'overall': 12006560},ruby
aws-sdk-sns,,rubygems,{'overall': 11990764},ruby
log4r,,rubygems,{'overall': 11957056},ruby
gem-empty,,rubygems,{'overall': 11944794},ruby
ransack,,rubygems,{'overall': 11940959},ruby
fog-dynect,,rubygems,{'overall': 11922561},ruby
aws-sdk-ssm,,rubygems,{'overall': 11918001},ruby
aws-sdk-rds,,rubygems,{'overall': 11914225},ruby
fastercsv,,rubygems,{'overall': 11885037},ruby
cocoapods-core,,rubygems,{'overall': 11822557},ruby
fog-openstack,,rubygems,{'overall': 11787270},ruby
mixlib-config,,rubygems,{'overall': 11755561},ruby
aws-sdk-dynamodb,,rubygems,{'overall': 11722176},ruby
ruby-hmac,,rubygems,{'overall': 11695569},ruby
bourbon,,rubygems,{'overall': 11685036},ruby
aws-sdk-ecs,,rubygems,{'overall': 11590476},ruby
aws-sdk-autoscaling,,rubygems,{'overall': 11559789},ruby
aws-sdk-cloudformation,,rubygems,{'overall': 11535787},ruby
omniauth-facebook,,rubygems,{'overall': 11534346},ruby
aws-sdk-cloudwatch,,rubygems,{'overall': 11531907},ruby
aws-sdk-lambda,,rubygems,{'overall': 11487332},ruby
require_all,,rubygems,{'overall': 11482605},ruby
aws-sdk-cloudwatchlogs,,rubygems,{'overall': 11467984},ruby
aws-sdk-codebuild,,rubygems,{'overall': 11459620},ruby
aws-sdk-iam,,rubygems,{'overall': 11459585},ruby
aws-sdk-ses,,rubygems,{'overall': 11430171},ruby
aws-sdk-elasticloadbalancingv2,,rubygems,{'overall': 11425463},ruby
pkg-config,,rubygems,{'overall': 11415361},ruby
aws-sdk-redshift,,rubygems,{'overall': 11401161},ruby
aws-sdk-cloudfront,,rubygems,{'overall': 11337506},ruby
http-form_data,,rubygems,{'overall': 11326965},ruby
aws-sdk-apigateway,,rubygems,{'overall': 11320890},ruby
aws-sdk-route53,,rubygems,{'overall': 11315885},ruby
aws-sdk-kinesis,,rubygems,{'overall': 11295121},ruby
aws-sdk-configservice,,rubygems,{'overall': 11275712},ruby
aws-sdk-glue,,rubygems,{'overall': 11272248},ruby
aws-sdk-cloudwatchevents,,rubygems,{'overall': 11272133},ruby
mechanize,,rubygems,{'overall': 11263558},ruby
aws-sdk-databasemigrationservice,,rubygems,{'overall': 11259902},ruby
aws-sdk-elasticloadbalancing,,rubygems,{'overall': 11253980},ruby
aws-sdk-appstream,,rubygems,{'overall': 11247777},ruby
aws-sdk-elasticsearchservice,,rubygems,{'overall': 11243418},ruby
aws-sdk-pinpoint,,rubygems,{'overall': 11243112},ruby
aws-sdk-iot,,rubygems,{'overall': 11242664},ruby
aws-sdk-servicecatalog,,rubygems,{'overall': 11229271},ruby
aws-sdk-polly,,rubygems,{'overall': 11218998},ruby
aws-sdk-ecr,,rubygems,{'overall': 11199491},ruby
cancancan,,rubygems,{'overall': 11194269},ruby
aws-sdk-elasticbeanstalk,,rubygems,{'overall': 11192471},ruby
