package name,version,source,downloads,language
symfony/polyfill-php56,,packagist,"{u'last_month': 1587650, u'overall': 48933002, u'last_day': 74034}",php
symfony/polyfill-util,,packagist,"{u'last_month': 1551309, u'overall': 48928229, u'last_day': 66633}",php
aws/aws-sdk-php,,packagist,"{u'last_month': 1792766, u'overall': 48272625, u'last_day': 83180}",php
jakub-onderka/php-console-highlighter,,packagist,"{u'last_month': 2067264, u'overall': 47418611, u'last_day': 83263}",php
jakub-onderka/php-console-color,,packagist,"{u'last_month': 2042035, u'overall': 47415080, u'last_day': 82415}",php
dnoegel/php-xdg-base-dir,,packagist,"{u'last_month': 1901371, u'overall': 46122772, u'last_day': 77476}",php
mockery/mockery,,packagist,"{u'last_month': 1771369, u'overall': 44806005, u'last_day': 70878}",php
psr/container,,packagist,"{u'last_month': 3449802, u'overall': 44767587, u'last_day': 138521}",php
ramsey/uuid,,packagist,"{u'last_month': 2391825, u'overall': 44355954, u'last_day': 104274}",php
doctrine/orm,,packagist,"{u'last_month': 1286787, u'overall': 43393649, u'last_day': 57920}",php
mtdowling/cron-expression,,packagist,"{u'last_month': 995049, u'overall': 42197649, u'last_day': 40989}",php
symfony/config,,packagist,"{u'last_month': 1669774, u'overall': 42121421, u'last_day': 79198}",php
hamcrest/hamcrest-php,,packagist,"{u'last_month': 1669831, u'overall': 41166450, u'last_day': 70119}",php
symfony/polyfill-php70,,packagist,"{u'last_month': 1968057, u'overall': 40628230, u'last_day': 78707}",php
guzzle/guzzle,,packagist,"{u'last_month': 668165, u'overall': 39434376, u'last_day': 30068}",php
symfony/symfony,,packagist,"{u'last_month': 805551, u'overall': 37315276, u'last_day': 38866}",php
symfony/monolog-bundle,,packagist,"{u'last_month': 1096957, u'overall': 36090027, u'last_day': 46974}",php
predis/predis,,packagist,"{u'last_month': 1321254, u'overall': 35729070, u'last_day': 60373}",php
sensio/framework-extra-bundle,,packagist,"{u'last_month': 1031043, u'overall': 35708934, u'last_day': 41146}",php
jdorn/sql-formatter,,packagist,"{u'last_month': 1085449, u'overall': 35475958, u'last_day': 47943}",php
phpseclib/phpseclib,,packagist,"{u'last_month': 1388451, u'overall': 35007888, u'last_day': 63861}",php
doctrine/doctrine-bundle,,packagist,"{u'last_month': 1051688, u'overall': 34892025, u'last_day': 40759}",php
sensio/distribution-bundle,,packagist,"{u'last_month': 727942, u'overall': 34128483, u'last_day': 29085}",php
squizlabs/php_codesniffer,,packagist,"{u'last_month': 1284299, u'overall': 33501887, u'last_day': 58267}",php
symfony/dependency-injection,,packagist,"{u'last_month': 1407084, u'overall': 32494886, u'last_day': 66375}",php
symfony/swiftmailer-bundle,,packagist,"{u'last_month': 905166, u'overall': 31994967, u'last_day': 40860}",php
psr/simple-cache,,packagist,"{u'last_month': 2818759, u'overall': 31666270, u'last_day': 114865}",php
symfony/browser-kit,,packagist,"{u'last_month': 1082756, u'overall': 31469542, u'last_day': 43932}",php
jeremeamia/superclosure,,packagist,"{u'last_month': 585144, u'overall': 31264699, u'last_day': 25876}",php
psr/cache,,packagist,"{u'last_month': 1902349, u'overall': 31173178, u'last_day': 90107}",php
tijsverkoyen/css-to-inline-styles,,packagist,"{u'last_month': 1670560, u'overall': 29949593, u'last_day': 73973}",php
mtdowling/jmespath.php,,packagist,"{u'last_month': 1437168, u'overall': 29292825, u'last_day': 60637}",php
doctrine/doctrine-cache-bundle,,packagist,"{u'last_month': 1068430, u'overall': 28840544, u'last_day': 42322}",php
incenteev/composer-parameter-handler,,packagist,"{u'last_month': 672958, u'overall': 28574298, u'last_day': 31080}",php
ircmaxell/password-compat,,packagist,"{u'last_month': 535412, u'overall': 28547348, u'last_day': 26241}",php
sensio/generator-bundle,,packagist,"{u'last_month': 563485, u'overall': 28505493, u'last_day': 23912}",php
sensiolabs/security-checker,,packagist,"{u'last_month': 844685, u'overall': 28429725, u'last_day': 34460}",php
twig/extensions,,packagist,"{u'last_month': 778148, u'overall': 28260400, u'last_day': 35252}",php
zendframework/zend-eventmanager,,packagist,"{u'last_month': 1206671, u'overall': 28213615, u'last_day': 47444}",php
erusev/parsedown,,packagist,"{u'last_month': 1628718, u'overall': 28108166, u'last_day': 70682}",php
react/promise,,packagist,"{u'last_month': 995338, u'overall': 27909588, u'last_day': 41900}",php
jms/metadata,,packagist,"{u'last_month': 829824, u'overall': 27866059, u'last_day': 34188}",php
egulias/email-validator,,packagist,"{u'last_month': 2259243, u'overall': 27140828, u'last_day': 103329}",php
classpreloader/classpreloader,,packagist,"{u'last_month': 331042, u'overall': 27023292, u'last_day': 15226}",php
kriswallsmith/assetic,,packagist,"{u'last_month': 516815, u'overall': 26711789, u'last_day': 24696}",php
guzzlehttp/streams,,packagist,"{u'last_month': 829424, u'overall': 26648559, u'last_day': 37946}",php
phpoption/phpoption,,packagist,"{u'last_month': 728682, u'overall': 26075964, u'last_day': 29956}",php
symfony/polyfill-intl-icu,,packagist,"{u'last_month': 1118382, u'overall': 25933456, u'last_day': 43360}",php
composer/ca-bundle,,packagist,"{u'last_month': 1562963, u'overall': 25682758, u'last_day': 62702}",php
jms/parser-lib,,packagist,"{u'last_month': 721961, u'overall': 25600627, u'last_day': 29698}",php
zendframework/zend-code,,packagist,"{u'last_month': 1157298, u'overall': 25571932, u'last_day': 45230}",php
symfony/class-loader,,packagist,"{u'last_month': 750559, u'overall': 25248439, u'last_day': 30587}",php
behat/transliterator,,packagist,"{u'last_month': 857312, u'overall': 25196555, u'last_day': 38205}",php
symfony/polyfill-apcu,,packagist,"{u'last_month': 917555, u'overall': 24993903, u'last_day': 41686}",php
jms/serializer,,packagist,"{u'last_month': 723563, u'overall': 24888117, u'last_day': 31620}",php
pimple/pimple,,packagist,"{u'last_month': 666985, u'overall': 24866015, u'last_day': 30061}",php
phpcollection/phpcollection,,packagist,"{u'last_month': 712523, u'overall': 24757118, u'last_day': 29197}",php
zendframework/zend-stdlib,,packagist,"{u'last_month': 919706, u'overall': 24282984, u'last_day': 43433}",php
phpoffice/phpexcel,,packagist,"{u'last_month': 785071, u'overall': 24240695, u'last_day': 35025}",php
firebase/php-jwt,,packagist,"{u'last_month': 1300740, u'overall': 24119462, u'last_day': 54958}",php
guzzlehttp/ringphp,,packagist,"{u'last_month': 828375, u'overall': 23589105, u'last_day': 37715}",php
behat/gherkin,,packagist,"{u'last_month': 817827, u'overall': 23399670, u'last_day': 36667}",php
