source,target,distance
a2lix/i18n-doctrine-bundle,a2lix/i18n-doctrine-bundle,0
amphp/parallel,amphp/parallel,0
aaphp/utilized,aaphp/utilized,0
aaphp/encapsulated,aaphp/encapsulated,0
aerialship/lightsaml,aerialship/lightsaml,0
amphp/parser,amphp/parser,0
acquia/acsf-tools,acquia/acsf-tools,0
antimattr/mongodb-migrations,antimattr/mongodb-migrations,0
acelaya/zf2-acmailer,acelaya/zf2-acmailer,0
akeneo-labs/spreadsheet-parser,akeneo-labs/spreadsheet-parser,0
adesigns/calendar-bundle,adesigns/calendar-bundle,0
antoligy/dom-string-iterators,antoligy/dom-string-iterators,0
2amigos/yii2-google-maps-library,2amigos/yii2-google-maps-library,0
amzn/login-and-pay-with-amazon-sdk-php,amzn/login-and-pay-with-amazon-sdk-php,0
aerialship/saml-sp-bundle,aerialship/saml-sp-bundle,0
aoepeople/composer-installers,aoepeople/composer-installers,0
ambta/doctrine-encrypt-bundle,ambta/doctrine-encrypt-bundle,0
alchemy/google-plus-api-client,alchemy/google-plus-api-client,0
2amigos/yii2-date-time-picker-widget,2amigos/yii2-date-time-picker-widget,0
acelaya/doctrine-enum-type,acelaya/doctrine-enum-type,0
aik099/phpunit-mink,aik099/phpunit-mink,0
amphp/sync,amphp/sync,0
alt-three/throttle,alt-three/throttle,0
acacha/filesystem,acacha/filesystem,0
amstaffix/pagination,amstaffix/pagination,0
activelamp/swagger-ui-bundle,activelamp/swagger-ui-bundle,0
abcaeffchen/sepa-utilities,abcaeffchen/sepa-utilities,0
antimattr/mongodb-migrations-bundle,antimattr/mongodb-migrations-bundle,0
alt-three/emoji,alt-three/emoji,0
alexpechkarev/google-geocoder,alexpechkarev/google-geocoder,0
amphp/uri,amphp/uri,0
agencednd/module-pimgento,agencednd/module-pimgento,0
adambrett/shell-wrapper,adambrett/shell-wrapper,0
adilbaig/pagerduty,adilbaig/pagerduty,0
aoepeople/aoe_scheduler,aoepeople/aoe_scheduler,0
airbrake/airbrake-php,airbrake/airbrake-php,0
andreas-weber/php-junit-merge,andreas-weber/php-junit-merge,0
2amigos/yii2-qrcode-helper,2amigos/yii2-qrcode-helper,0
2amigos/yii2-highcharts-widget,2amigos/yii2-highcharts-widget,0
aequasi/memcached-bundle,aequasi/memcached-bundle,0
algatux/influxdb-bundle,algatux/influxdb-bundle,0
alt-three/badger,alt-three/badger,0
adamstipak/nette-rest-route,adamstipak/nette-rest-route,0
ajthinking/tinx,ajthinking/tinx,0
alt-three/logger,alt-three/locker,2
alt-three/logger,alt-three/logger,0
alsofronie/eloquent-uuid,alsofronie/eloquent-uuid,0
99designs/http-signatures-guzzlehttp,99designs/http-signatures-guzzlehttp,0
2amigos/yii2-transliterator-helper,2amigos/yii2-transliterator-helper,0
alchemy/phlickr,alchemy/phlickr,0
a2lix/auto-form-bundle,a2lix/auto-form-bundle,0
alchemy/geonames-api-consumer,alchemy/geonames-api-consumer,0
antoineaugusti/laravel-sentiment-analysis,antoineaugusti/laravel-sentiment-analysis,0
2amigos/yii2-editable-widget,2amigos/yii2-editable-widget,0
abcaeffchen/sephpa,abcaeffchen/sephpa,0
adrienbrault/pagerfanta-iterator,adrienbrault/pagerfanta-iterator,0
alchemy/oauth2php,alchemy/oauth2php,0
anomaly/streams-platform,anomaly/streams-platform,0
adldap/adldap,adldap2/adldap2,2
adldap/adldap,adldap/adldap,0
alt3/cakephp-swagger,alt3/cakephp-swagger,0
ahmedsamy/codeception-smtp-mail,ahmedsamy/codeception-smtp-mail,0
admad/cakephp-sequence,admad/cakephp-sequence,0
akrabat/ip-address-middleware,akrabat/ip-address-middleware,0
adamlc/address-format,adamlc/address-format,0
albertofem/rsync-lib,albertofem/rsync-lib,0
alexdover/blade-set,alexdover/blade-set,0
andreasindal/laravel-markdown,andreasindal/laravel-markdown,0
alcohol/iso3166,alcohol/iso3166,0
ahand/mobileesp,ahand/mobileesp,0
akeneo/api-php-client,akeneo/api-php-client,0
alchemy/phpexiftool,alchemy/phpexiftool,0
acquia/acquia-sdk-php-json,acquia/acquia-sdk-php-json,0
alfredo-ramos/parsedown-extra-laravel,alfredo-ramos/parsedown-extra-laravel,0
andre_487/php_rutils,andre_487/php_rutils,0
ali/datatable,ali/datatable,0
